Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,59;0,11;0,11;1867;7;7
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,39;0,06;0,06;1870;10;13
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;-0,12;0,36;0,36;1871;33;33
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,31;0,10;0,10;1871;10;10
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,15;0,19;0,19;1872;24;26
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,57;0,12;0,12;1873;6;6
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,32;0,05;0,05;1875;25;25
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,19;0,06;0,06;1875;25;25
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,39;0,04;0,04;1877;14;14
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,35;0,05;0,05;1877;22;22
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,53;0,14;0,14;1877;8;8
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,45;0,36;0,36;1880;13;13
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;-0,29;0,07;0,07;1880;5;5
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,37;0,06;0,06;1880;10;11
Denmark;Ho Bugt;"Gehrels et al. (2006b); Szkornik et al. (2008)";diatoms;55,583;-8,267;0,03;0,22;0,22;1881;38;187
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;-0,03;0,36;0,36;1882;33;33
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,55;0,11;0,11;1882;8;8
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,13;0,07;0,07;1883;13;13
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,18;0,18;0,18;1885;23;23
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,49;0,14;0,14;1887;9;9
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,41;0,36;0,36;1887;10;10
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,24;0,10;0,10;1887;13;13
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,38;0,04;0,04;1890;8;8
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,18;0,18;0,18;1890;19;23
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,35;0,06;0,06;1891;10;10
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;0,00;0,36;0,36;1893;21;21
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,19;0,10;0,10;1894;11;11
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,46;0,15;0,15;1894;10;10
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,15;0,18;0,18;1894;19;23
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;-0,29;0,05;0,05;1895;5;5
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,08;0,15;0,15;1896;11;14
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,11;0,07;0,07;1897;19;19
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,45;0,16;0,16;1898;14;39
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,34;0,04;0,04;1900;8;8
Cook Islands;Aitutaki;Goodwin and Harvey (2008);coral microatoll;-18,860;-159,790;-0,20;0,05;0,05;1900;10;10
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,33;0,06;0,06;1900;9;9
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,41;0,16;0,16;1901;20;36
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,42;0,16;0,16;1903;20;22
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,32;0,04;0,04;1903;7;7
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,42;0,35;0,35;1904;5;5
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,50;0,09;0,09;1904;15;15
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,32;0,06;0,06;1904;6;6
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;-0,11;0,36;0,36;1905;18;18
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,06;0,14;0,14;1906;16;16
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,49;0,09;0,09;1907;15;15
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,36;0,16;0,16;1908;18;11
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,29;0,06;0,06;1909;7;7
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,28;0,07;0,07;1909;5;5
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,31;0,04;0,04;1909;7;7
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,32;0,35;0,35;1910;3;3
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,07;0,15;0,15;1910;10;5
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,45;0,12;0,12;1911;15;15
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,28;0,06;0,06;1912;8;8
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,43;0,12;0,12;1912;14;14
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,12;0,14;0,14;1914;14;14
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,09;0,07;0,07;1914;19;19
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,32;0,16;0,16;1915;14;17
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,22;0,18;0,18;1915;16;18
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,30;0,06;0,06;1915;5;5
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,37;0,16;0,16;1915;12;12
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,27;0,06;0,06;1916;6;6
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,26;0,03;0,03;1916;6;6
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,13;0,35;0,35;1917;11;11
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,33;0,35;0,35;1918;5;5
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,04;0,35;0,35;1919;18;18
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,16;0,17;0,17;1919;10;10
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,27;0,06;0,06;1920;9;9
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,18;0,35;0,35;1921;1;1
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,07;0,20;0,20;1921;70;70
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,07;0,07;0,07;1922;18;18
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,32;0,05;0,05;1922;5;5
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,30;0,16;0,16;1922;11;22
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,07;0,10;0,10;1922;9;9
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,06;0,15;0,15;1923;10;5
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,24;0,03;0,03;1924;6;6
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,05;0,10;0,10;1925;9;9
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,40;0,12;0,12;1925;8;8
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,26;0,06;0,06;1926;7;7
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,31;0,05;0,05;1926;5;5
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,10;0,18;0,18;1927;13;15
Spain;Muskiz Estuary;Leorri and Cearreta (2009);foraminifera;43,338;-3,118;-0,07;0,26;0,26;1927;5;5
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,21;0,03;0,03;1927;6;6
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,16;0,35;0,35;1929;8;8
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,24;0,06;0,06;1929;6;6
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,25;0,16;0,16;1930;7;28
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,05;0,06;0,06;1930;10;10
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,12;0,18;0,18;1930;7;7
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,24;0,06;0,06;1931;5;5
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,22;0,35;0,35;1931;3;3
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,25;0,05;0,05;1931;5;5
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,23;0,05;0,05;1933;5;5
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,36;0,13;0,13;1934;6;6
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,27;0,06;0,06;1934;4;4
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,05;0,15;0,15;1934;10;5
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,11;0,18;0,18;1935;13;15
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;-0,20;0,05;0,05;1935;1;1
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,15;0,03;0,03;1935;5;5
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,19;0,04;0,04;1935;4;4
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,01;0,10;0,10;1936;8;8
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,01;0,10;0,10;1936;8;8
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,26;0,16;0,16;1936;10;29
Spain;Muskiz Estuary;Leorri and Cearreta (2009);foraminifera;43,338;-3,118;-0,13;0,17;0,17;1936;5;5
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,22;0,07;0,07;1937;4;4
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,19;0,35;0,35;1937;0;0
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,23;0,06;0,06;1938;6;6
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,21;0,06;0,06;1938;4;4
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,18;0,03;0,03;1939;5;5
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,00;0,10;0,10;1939;7;7
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,23;0,06;0,06;1940;3;3
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,08;0,15;0,15;1940;8;8
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,17;0,08;0,08;1940;3;3
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,36;0,13;0,13;1941;8;8
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,35;0,35;0,35;1941;2;2
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,17;0,09;0,09;1942;3;3
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,23;0,16;0,16;1942;14;16
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,05;0,07;0,07;1942;22;22
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,19;0,06;0,06;1942;5;5
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,04;0,15;0,15;1944;5;5
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,25;0,05;0,05;1944;3;3
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,36;0,35;0,35;1945;1;1
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;-0,21;0,36;0,36;1946;3;3
Spain;Muskiz Estuary;Leorri and Cearreta (2009);foraminifera;43,338;-3,118;-0,11;0,17;0,17;1946;4;4
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,16;0,03;0,03;1946;5;5
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,35;0,12;0,12;1947;9;9
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;-0,13;0,05;0,05;1948;3;3
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,19;0,05;0,05;1948;3;3
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,03;0,10;0,10;1948;4;4
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,16;0,11;0,11;1950;50;50
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;0,06;0,10;0,10;1950;50;50
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,14;0,06;0,06;1950;5;5
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,25;0,16;0,16;1951;13;13
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,02;0,17;0,17;1951;4;4
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,02;0,15;0,15;1951;6;6
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,03;0,15;0,15;1952;0;5
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,17;0,06;0,06;1953;3;3
Spain;Muskiz Estuary;Leorri and Cearreta (2009);foraminifera;43,338;-3,118;-0,09;0,17;0,17;1953;3;3
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,18;0,35;0,35;1954;3;3
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,04;0,10;0,10;1954;3;3
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,33;0,13;0,13;1954;10;10
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,19;0,06;0,06;1955;4;4
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;-0,03;0,05;0,05;1955;5;5
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,23;0,06;0,06;1956;3;3
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,03;0,07;0,07;1956;19;19
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,08;0,03;0,03;1956;2;2
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,12;0,18;0,18;1956;6;7
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,17;0,05;0,05;1957;2;2
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,19;0,06;0,06;1957;4;4
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,36;0,35;0,35;1957;0;0
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,10;0,17;0,17;1957;3;3
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,02;0,15;0,15;1958;5;0
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,00;0,10;0,10;1959;2;2
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,00;0,10;0,10;1959;2;2
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,16;0,06;0,06;1959;4;4
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,07;0,03;0,03;1959;2;2
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;0,06;0,15;0,15;1959;5;5
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,17;0,05;0,05;1959;2;2
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,32;0,13;0,13;1959;8;8
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,19;0,16;0,16;1960;9;15
Spain;Muskiz Estuary;Leorri and Cearreta (2009);foraminifera;43,338;-3,118;-0,04;0,17;0,17;1960;3;3
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,13;0,06;0,06;1960;3;3
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,03;0,10;0,10;1961;2;2
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,03;0,10;0,10;1961;2;2
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,18;0,05;0,05;1961;2;2
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,07;0,03;0,03;1961;3;3
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,31;0,13;0,13;1962;7;7
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,14;0,06;0,06;1962;2;2
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,13;0,18;0,18;1963;3;2
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,02;0,06;0,06;1963;1;1
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,01;0,35;0,35;1963;1;1
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,15;0,17;0,17;1963;2;2
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,01;0,10;0,10;1963;2;2
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,01;0,10;0,10;1963;2;2
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,01;0,10;0,10;1963;2;2
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,01;0,15;0,15;1964;0;5
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,26;0,35;0,35;1964;1;1
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,23;0,16;0,16;1965;6;12
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;-0,01;0,05;0,05;1965;1;1
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,33;0,35;0,35;1965;5;5
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,29;0,14;0,14;1965;8;8
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,16;0,05;0,05;1965;2;2
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,14;0,06;0,06;1966;2;2
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,10;0,18;0,18;1966;3;2
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,28;0,15;0,15;1967;7;7
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,09;0,18;0,18;1967;3;2
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,13;0,06;0,06;1967;3;3
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,06;0,18;0,18;1968;3;3
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,27;0,15;0,15;1969;6;6
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,27;0,16;0,16;1969;5;7
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,15;0,20;0,20;1969;35;35
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,04;0,10;0,10;1969;6;6
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;0,01;0,15;0,15;1969;5;0
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,10;0,05;0,05;1969;2;2
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,12;0,06;0,06;1970;3;3
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,04;0,19;0,19;1970;2;3
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,03;0,18;0,18;1971;3;3
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,27;0,35;0,35;1971;0;0
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,27;0,14;0,14;1971;4;4
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,10;0,06;0,06;1971;2;2
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,17;0,16;0,16;1972;4;8
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,06;0,18;0,18;1972;1;1
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,01;0,07;0,07;1972;9;9
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,11;0,05;0,05;1973;3;3
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,08;0,18;0,18;1973;2;2
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;0,00;0,03;0,03;1973;4;4
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,09;0,06;0,06;1974;1;1
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,24;0,16;0,16;1974;3;6
Spain;Muskiz Estuary;Leorri and Cearreta (2009);foraminifera;43,338;-3,118;-0,01;0,17;0,17;1974;2;2
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;0,02;0,15;0,15;1975;3;3
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,02;0,18;0,18;1975;2;3
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,02;0,14;0,14;1975;4;4
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,20;0,18;0,18;1975;3;3
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,13;0,16;0,16;1976;3;4
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,08;0,18;0,18;1976;2;3
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,09;0,06;0,06;1976;2;2
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,07;0,05;0,05;1977;3;3
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,01;0,03;0,03;1977;4;4
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;0,01;0,10;0,10;1978;10;10
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,25;0,13;0,13;1978;2;2
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;-0,02;0,35;0,35;1978;5;5
